Impressionism	ተመስጣዊነት
Intaglio	ኢንታግሊዮ
L	
Landscape painting	ንጣፍ ሥዕል (የተፈጥሮ)
Lithograph	እትመት-አለት
M	
Mural	ሙራል፤ልስን ሥዕል
N	
Naturalism	ተፈጥሩዊነት
P	
Paintbrush	የቀለም-ብሩሽ
Painter	ሠዓሊ
Painting	የቀለም ቅብ
pop  art	ቤተኛ፤ዘመንተኛ ጥበብ
portrait	ምስላካል (ሰ.መ)(ለሥዕል)
post -impressionism	ድኅረ ተመሰጣዊነት
poster	ሥዕላዊ መግለጫ
pre- Raphaelite	ቅደመ ቤተ ሩፋኤል (ዘመን)
R	
realism	እውነታ
renaissance	ተሐድሶ (ዘመነ)
rococo	ሮኮኮ (ዘመን)
romanticism	ሮማን፤ወሽነኔ (ዘመነ)
S	
culprit {L}	ቀረጾታል
sculptor	ግልፎኛ (ሰ.መ)
sculpture	ግልፎ(ሰ.መ)
still life	የረጋ ሕይወት (ሥዕል)
surrealism	እልም አሰተኔ
T	
tempera	ቴልፕራ
triptych	ስልሰቴ እጥፈት
PUBLISHING- ማሳተምና ማተም	
PUBLISHING- ማሳተም	
abbreviation	አህጽሮተ-ቃል
abridgment	ማሣጠር
abstract 	አህጽሮት-ጽሑፍ
acknowledgment page	የምሥጋና፤የወሮታ ገፅ
annex	ቅጥያ
appendix	ተቀጥላ
B	
balanced sentence	ምጥን ዐረፍተ ተገር
bibliography	ዋቢ መጻሕፍት
blurb	የጀርባ ሽፋን ማሰተዋወቅያ
bookish, book worm	የመጽሐፍ ቁራኛ
bookshelf	የመጽሐፍ መደርደሪያ
bookstore	የመጽሐፍ መደብር
C	
calligraphy	የቁም ጽሕፈት
chapter	ምዕራፍ
compilation	ማዘጋጀት
copy	ቅጅ
copyrights page, Biblio	የመብት መግለጫ ገፅ
correction	እርማት
corrigenda(L)	የእርማት ዝርዝር
D	
dedication page	የመታሰቢያ ገፅ
design, Dummy	የገፅ ንድፍ
designer	የገፅ እትመት ንድፍ አውጪ
draft	ረቂቅ
E	
editor	አርታዒ (አ.አ.እና ዘ.አ.)
editorial	አርትኦት (አ.አ.እና ዘ.አ.)
edition de Luxe (F)	ምርጥ እትም
edito princeps(L)	በኩር እትም
effective sentence	ልጨኛ ዐረፍተ ነገር (ዳ.ወ)
en avant (F)	መቅድም
errata(L)	የእርምት ዝርዝር
G	
Glossary	ሙዳየ ቃላት
H	
house style	ሥርዓተ-ሕትመት
I	
illustrations, duagrams	ሥዕላዊ መግለጫዋች
indent	አዲስ አንቀፅ መክፈት
index	በፊደል ተራ ተቃላት ማውጫ
inscription	የተቀረፀ ጽሑፍ
introduction, preamble	መግቢያ
issue	እትም
L	
layout	የገጽ ገጽታ
list of tables	የሰንጠረዝ ዝርዝር
loose sentence	ልቅ ዐረፈተ ነገር (ዳ.ወ)
M	
manuscript	የእጅ ጽሑፍ
O	
orthography	የቃላት አፃፃፍ
P	
page	ገጽ
pagination	የገጽ ቁጥር
paragraph	አንቀዕ
penmanship	የእጅ ጽሕፈት
place of publication	መካነ-ሕትመት
precise	አኀዐሮተ-ጽሁፍ
preface,foreword,prologye	መቅደም
proofread]	የእርምት ንባብ
publication	የታተመ ጽሑፍ
publisher	አሳታሚ 
]publishing	ማሣተም
publishing agency	አሳታሚ ድርጅት
punctuation	ሥርዓተ ነጥብ
R	
readersgup	አንባቢ፤ ተደራሲ
redundancy	ድረታ
reference	መግለጫ
reissue	እንደገና አትሞ ማውጣት
reprint	ድጋሚ እትም
rewrite	ድጋሚ መጻፍ
royalty	አሰበ-ድርሰት
scribe, calligrapher	ቁም ፀሐፊ
scripsite(L)	ጽፎታል
sentence	ዐረፍተ-ነገር
spelling	ሥርዓተ-ሆሄያት
stet (L)	አይሰረዝ
subheading	ንዑስ አርእሰት
subparagraph	ንዑስ አንቀፅ
surrey reading 	ቅኛታዊ ንባብ
symbol	ትዕምርት
T	
table of content	ማውጭ
title	አርእሰት፤ርዕስ
title page	የርዐስ ገጽ
typing	ትየባ
typography	የገጽ አቀማመጥ
V	
volume	የገጽ ብዛት ቅዕ
W	
writer, Author	ደራሲ
Y	
year of publication	ዓመተ-ሕትመት
printing -ማተም	
backboard, Backcover	የኋላ ሽፋን 
back cornering	የኋላ ሽፋን ጠርዝ
backing press	መጠረዣ መጫኛ
binder	ጠራዥ
bindery	የመጠረዣ ክፍል
binding (n)	ጠጥራዝ
binding (v)	መረረዝ
blade lever	የምላጭ ዘንግ
board cutter	መቁረጫ
bone folder	ማጠፊያ
bookbinder	መጽሐፍ ጠራዥ
bookbinding leather	የመጠረዣ ቆዳ
bound book	ጥርዝ መጽሐፍ
camera	ካሜራ
character	ዓይነተ-ፊደል
clamp	ማሰሪያ
